shanghai_city_7208	上海全季酒店淮海路店
tel_aviv_61	Liber Apartments
washington_247	Residence Inn by Marriott Arlington Courthouse
tel_aviv_2	Liart - Boutique hotel
tel_aviv_495	Royal T Suites
tel_aviv_543	Arbel Suites Hotel
tel_aviv_494	Sea Side Hotel
tel_aviv_486	Villa Vilina Oasis in Neve Tzedek
tel_aviv_490	Gilgal Hotel Tel Aviv
ubud_id_35	Bumi Ubud Resort
xinyang_2302	信阳云龙宾馆
xiangfan_2332	襄樊惠宾旅馆
hangzhou_9889	杭州阿锋宾馆
tel_aviv_493	West Hotel
tel_aviv_158	InterContinental David Tel Aviv
tel_aviv_476	City Village
tenby_4	The Albany Hotel
tenby_22	Harbourlight Guesthouse
tenby_7	The Broadmead Hotel
tenby_9	Atlantic Hotel
tenby_11	Hammonds Park
the_hague_43	Crowne Plaza Den Haag Promenade
the_hague_47	Corona Hotel Hampshire Classic
chengdu_813	成都喜来乐公寓
pittsfield_il_5	Best Western Berkshire Hills Inn and Suites
tenby_21	Marlborough House Hotel
suzhou_jiangsu_8375	金太阳度假村
bangkok_257	曼谷富丽华阿索科酒店（FuramaXclusive Asoke, Bangkok）
tenby_15	Heywood Mount
tenby_3	Fourcroft Hotel
chongzuo_2100	崇左城市便捷商务酒店
piste_mex_4	Dolores Alba Chichen Itza
tenby_6	Flemishcourt Guest House
tenby_20	The Park Hotel
tenby_8	Giltar Hotel
tenby_14	Sunny Bank Guesthouse
knoxville_80	希尔顿诺克斯维尔酒店
zhengzhou_4094	新密友谊宾馆
tenby_13	The Esplanade
baoshan_2302	保山市和顺肆和兴院
knoxville_84	Alcoa Days Inn - Knoxville Airport
knoxville_83	希尔顿诺克斯维尔机场酒店
evreux_38	Hostellerie Le Clos
elk_river_mn_1	Country Inn & Suites By Carlson Elk River
tenby_5	Parsonage Farm Inn
tenby_16	Royal Lion Hotel
tenby_10	Trefloyne Manor
tenby_17	YHA Manorbier
tenby_12	Cottage Court Hotel
tenby_18	Glenholme
terracina_ita_12	Torre Del Sole
terracina_ita_9	Villa Giove
yangjiang_2045	阳江天海宾馆
yulin_shanxi_02_2126	榆林政府宾馆
peoria_az_721	Ramada Peoria/Glendale Conference Center
evreux_37	Campanile - Rouen -Oissel - Rond-Point Aux Vaches
evreux_39	EXCLUSIVE HOTEL LA LICORNE
yulin_guangxi_2343	玉林温泉宾馆
terracina_ita_3	Hotel Mareazzurro
terracina_ita_17	Hotel Residence Riva Gaia
terracina_ita_11	Hotel Poseidon
the_entrance_nsw_2	Oaks Waterfront Resort The Entrance
the_entrance_nsw_1	El Lago Waters Resort
mouroux_2	Premiere Classe Coulommiers- Mouroux
robinson_il_2	Super 8 Vincennes
the_hague_33	Hotel Novotel Den Haag City Centre
the_hague_35	Eden Babylon Hotel Den Haag
the_hague_44	Best Western Hotel Petit
the_hague_37	Hotel Des Indes, a Luxury Collection Hotel
roussillon_9	Le Clos de la Glycine
the_hague_34	Stayokay Den Haag
the_hague_28	Ibis Den Haag City Centre
the_hague_27	NH Den Haag
the_hague_39	Delta Hotel
the_hague_18	Staten Hotel
the_hague_5	Hilton The Hague
knoxville_92	Four Points by Sheraton Knoxville Cumberland House Hotel
fort_washington_pa_2	Hilton Garden Inn Philadelphia-Fort Washington
the_hague_167	Pension Duinoord
rome_528	Papillo Hotel Roma
tokyo_3621	Toyocho Vista Hotel
the_hague_173	The Hague Apartments
the_hague_174	MAFF Appartement Den Haag
guangzhou_9229	广州市奔特商务酒店
the_hague_175	Short Stay Apartment Prince Palace
the_hague_171	Short Stay Apartment Noordeinde
longnan_92	文县邮政宾馆
thunder_bay_on_1	Victoria Inn Hotel and Convention Center Thunder Bay
thunder_bay_on_5	Travelodge Hotel Airlane
campinas_bra_7	Royal Palm Plaza Resort
rovaniemi_fi_3	Rantasipi Pohjanhovi
rovaniemi_fi_12	Ounasvaaran Pirtit
rovaniemi_fi_11	Hotel Aakenus
rovaniemi_fi_6	Santasport
timmendorfer_strand_4	Hotel Ancora
timmendorfer_strand_33	Hotel Atlantis
timmendorfer_strand_34	Hotel Gorch Fock
timmendorfer_strand_30	Maritim Clubhotel Timmendorfer Strand
timmendorfer_strand_23	Quality Hotel Princess
montclair_ca_2	Super 8 Motel - Upland
faulkton_sd_3	Super 8 Aberdeen North
yiwu_2621	金华天润酒店
eckelsheim_ger_1	Hotel Klosterhof Eckelsheim
okehampton_uk_1	Fairway Lodge Okehampton
tivoli_6	Hotel Le Rose
knoxville_69	Hilton Garden Inn West Knoxville Cedar Bluff
tivoli_12	Affittacamere Il Vecchio Treno
dandong_2119	丹东龙都酒店
delwara_ind_1	Devi Garh
knoxville_66	Super 8 Knoxville Downtown Area
yibin_2131	宜宾市人民政府机关招待所
tokyo_2263	Shinjuku City Hotel N U T S Tokyo
rovinj_cro_57	Apartments Cvek
rovinj_cro_45	Apartments Anita
rovinj_cro_10	Villa Dobravac
rovinj_cro_22	Residence Marco Polo
tokyo_2220	Hotel Yanagibasi
rovinj_cro_14	Residence Porta Antica
rovinj_cro_4	Villa Ernesta
rovinj_cro_27	Apartmani Taylor
lincoln_uk_8	Pyewipe Inn Lincoln (England)
rovinj_cro_67	Apartments Casa Saina
rovinj_cro_59	Apartments La Pergola
rovinj_cro_65	Villa Romantika
rovinj_cro_15	Apartments Marija
liberal_ks_6	Super 8 Liberal Ks
liberal_ks_7	Budget Host Lafonda Motel Libe
tokyo_3614	Shinjuku Vintage Hotel Tokyo
washington_122	The Ritz-Carlton, Georgetown
ypsilanti_mi_792	Red Roof Inn Detroit Metro Airport Romulus
paris_city_847	Paname Hotel Bastille
covington_kt_154	Radisson Hotel Cincinnati Riverfront
prestwick_uk_15	North Beach Hotel
knoxville_78	Mainstay Suites
knoxville_42	Baymont Inn and Suites Knoxville
tokyo_2193	东京柏悦酒店（Park Hyatt Tokyo）
tokyo_3665	Family Inn Saiko
painesville_oh_1	Fairfield Inn & Suites by Marriott Marietta
tokyo_2211	Keio Plaza Tokyo
fort_washington_pa_1	Best Western Fort Washington Inn
tokyo_2368	Hotel Wing International Korakuen
paris_city_1262	Saint James & Albany Hotel - Spa
guilin_2760	桂林驴友之家火车站店
tokyo_2214	Dai Ichi Inn Ikebukuro
knoxville_23	Sleep Inn North Knoxville
livingston_nj_1	Westminster Hotel
koh_samui_44	Banburee Resort & Spa Koh Samui (苏梅岛斑布蕊度假村)
rovinj_cro_5	Villa Rossella 2
rovinj_cro_26	Apartments Peteh
rovinj_cro_24	Apartments Nina
rovinj_cro_33	Trevisol Apartments
rovinj_cro_54	Apartmani Anka
tokyo_2892	Courtyard by Marriott Tokyo Ginza
yokohama_74	SAKURA Ryokan
shenzhen_2661	站前招待所
shengsi_2007	舟山海岛风情半山度假村
tokyo_2274	Hotel Niwa Tokyo
baoji_2219	指南针商旅酒店旗舰店
melbourne_australia_208	Best Western Airport Motel & Convention Centre
las_vegas_146	THE SIGNATURE AT MGM(单卧套房)
krabi_15	Centara Grand Beach Resort Villas Krabi
las_vegas_46	Silverton CasinoLLC
tokyo_2287	Hotel Gracery Ginza
chongqing_city_3370	包鸾供销合作社包鸾招待所
istanbul_3824	伊斯坦布尔马斯拉克喜来登酒店
tokyo_2280	Hotel Gracery Tamachi
tokyo_2266	Shinjuku Washington Hotel
guangzhou_5270	广州海晖宾馆
paris_city_846	Aux Trois Portes
venice_415	Monaco & Grand Canal
los_angeles_usa_152	Comfort Inn Near Hollywood Walk of Fame
lech_36	Hotel Fernsicht
ganzi_2256	康定天然气大酒店
las_vegas_89	Fairfield Inn and Suites by Marriott Las Vegas South
los_angeles_usa_126	Ramada Plaza Hotel LAX - El Segundo（ 埃尔塞贡多华美达广场酒店）
kota_kinabalu_7	百灵宜海滨渡假村（Beringgis Beach Resort & Spa）
fairview_pa_6	TownePlace Suites Erie
diqing_2219	迪庆榛子家园
los_angeles_usa_128	Golden Key Hotel
zhuhai_2600	珠海卓邦酒店式公寓
los_angeles_usa_123	Doubletree Los Angeles Rosemead
diqing_3334	卓玛的家客栈
shuozhou_2006	怀仁祥宇大酒店
shanghai_city_2255	上海港运大厦
xiamen_3242	厦门我宿家庭旅馆
dalian_4573	大连万达希尔顿酒店
daqing_2312	大庆上东阳光主题宾馆
xinzhou_2048	忻州五寨宾馆
yichun_jiangxi_2078	宜春瑞雪宾馆
london_England_2766	The Milestone Hotel
tokyo_2272	Grand Arc Hanzomon
tokyo_2284	Sakura Hostel Asakusa
danyang_2041	益良宾馆
tokyo_2268	Cube Hotel Ueno Express
tokyo_2286	Hotel Parklane Nishikasai
menorca_70	Grupotel Club Turquesa Mar
zhuhai_2615	珠海经济特区达海企业开发集团招待所
rovinj_cro_56	Apartments Lara
marrakech_2225	Riad Due Guesthouse Marrakech
tokyo_2271	Hotel Rose Garden Shinjuku
tokyo_2279	Tokyo Bay Ariake Washington Hotel
fairlee_vt_1	Silver Maple Lodge & Cottages
tokyo_2283	Shibuya Tokyu Inn
fairport_ny_27	Budget Inn Fairport
fairview_pa_7	Super 8 Erie/I 90
west_columbia_tx_6	Comfort Suites Lake Jackson
fairview_pa_5	Wingate by Wyndham Erie
tokyo_2277	Dormy Inn Tokyo-Hatchobori
fairview_pa_13	Quality Inn & Suites
motta_camastra_2	伊黎莱斯卡萨莱罗马诺度假酒店
bangkok_129	曼谷素坤逸富丽华酒店（FuramaXclusive Sukhumvit Bangkok）
hille_ger_1	Medical Wellness Hotel Griepshop
tokyo_2276	East 21 Tokyo
okehampton_uk_7	Upcott House Hotel Okehampton
okehampton_uk_6	Cawsandside Bed and Breakfast Okehampton
los_angeles_usa_133	Beverly Inn
west_memphis_ar_229	Red Roof Inn West Memphis AR
haerbin_56	哈尔滨融府康年酒店
tokyo_2264	Sakura Fleur Aoyama
tokyo_2285	Dormy Inn Meguro-Aobadai
tokyo_2229	Haneda Excel Hotel Tokyo
osnabruck_ger_399	Steigenberger Hotel Remarque
yichun_jiangxi_2064	宜春奥利康宾馆
havelock_north_nz_1	Village Motel
bangkok_3726	Silom Boutique Resort（西隆精品度假酒店）
menorca_71	Apartamentos Siesta Mar Menorca
tokyo_2781	Shinbashi Atagoyama Tokyu Inn
tokyo_2238	Hotel Sunroute Higashi Shinjuku
schmallenberg_ger_96	Maritim Hotel - Grafschaft
tokyo_2219	Sunroute Shinagawa Seaside
tokyo_2343	Hotel Sunroute Plaza Shinjuku
paris_city_849	Hotel de l'Avenir
baoshan_2392	保山和顺万源客栈
boston_881	Comfort Inn Woburn
boston_880	Courtyard by Marriott Andover
gardner_ks_4	Virginia Inn
glendale_ca_1720	Embassy Suites Los Angeles - Glendale
bangkok_3725	Sherapunjab Guest House（谢拉旁遮普宾馆）
burbank_ca_1	Burbank-Media Center
etroubles_ita_1	Hotel Beau Sejour
gardner_ks_6	Rodeway Inn Lawrence
fairview_pa_9	Rodeway Inn Erie
fairview_pa_10	Residence Inn Erie
chongzuo_5	崇左德天宾馆
tokyo_2825	Metropolitan Marunouchi Hotel
tokyo_3620	Kitano Arms
grand_rapids_40	Country Inn & Suites By Carlson, Grand Rapids East, MI
yokohama_183	Hotel Wing International Meguro
rovinj_cro_55	Apartments Oriana
rovinj_cro_28	Villa Armin
tokyo_3432	Hotel Wing International Ikebukuro
sydney_australia_32	Grand Mercure Apartments One Darling Harbour
los_angeles_usa_106	Ramada Commerce（华美达商务酒店）
qufu_1	曲阜阙里宾舍
tokyo_2294	Akasaka Excel Hotel Tokyu
tokyo_2376	Tokyu Stay Aoyama Premier
yantai_3935	长岛晓霞渔家
tokyo_3608	Urbain Kamata
fairview_pa_8	SpringHill Suites Erie
tokyo_2241	Listel Shinjuku
tokyo_2358	Omori Tokyu Inn
yogyakarta_32	Saphir Hotel Yogyakarta
paris_city_848	Carladez Cambronne
los_angeles_usa_103	Royal Century Hotel at LAX
fairview_pa_11	Red Roof Inn Erie
menorca_74	Beach Club Apartments Menorca
wigston_uk_1	The Plough Inn
menorca_75	Hotel Las Dianas II Menorca
riverside_il_1	Holiday Inn Express SOUTH BOSTON
tokyo_2377	Hotel Ryumeikan Tokyo
tokyo_3649	Weekly Mansion Asakusa
west_memphis_ar_233	Best Western West Memphis Inn
tokyo_3668	Hotel Nihonbashi Saibo
tokyo_3634	Weekly Mansion Nihonbashi
tokyo_3639	Weekly Mansion Higashi-Ueno
paris_city_841	Istria Montparnasse
montauk_ny_5	Sole East Beach
zhuhai_2620	珠海山海楼酒店
zhuhai_2630	珠海教工之家-招待所
mattoon_il_6	Comfort Suites Mattoon
qinhuangdao_5410	昌黎海棠酒店
fancy_gap_va_1	Days Inn Fancy Gap Va
tokyo_2486	Candeo Hotels Uenokoen
tokyo_2976	Hotel Marutani
tokyo_3641	MyStays Inn Kamata
rovinj_cro_34	Rooms Residence Dream
stadtoldendorf_ger_1	Precise Hotel Weserbergland
los_angeles_usa_114	Markland Hotel
deidesheim_ger_1	Steigenberger Hotel Deidesheim
rovinj_cro_19	Apartments Divna
tokyo_2843	Hotel Grand City
tokyo_3160	Uraku Aoyama
tokyo_3673	Business Hotel Kankokukan
san_antonio_usa_144	Best Western Plus Fiesta Inn
tokyo_3606	Hotel Coco Grand Ueno Shinobazu
yogyakarta_19	Sheraton Mustika Yogyakarta Resort and Spa
jackson_ms_30	Candlewood Suites Pearl
tokyo_3611	Asakusa Hotel Fukudaya
hanzhong_2316	城固县君尚酒店
yokohama_44	Lotte City Hotel Kinshicho
tokyo_3647	Hotel Livemax Akihabara
tokyo_3652	Tokyo Business Hotel
istanbul_629	The House Apart Galatasaray
taian_2047	泰安市国山宾馆
tokyo_3631	Tokyu Stay Yoga
tokyo_3612	Hostel Komatsu Ueno Station
yokohama_234	Mitsui Garden Hotel Yotsuya
tokyo_3003	Shiba Daimon Hotel
tokyo_2242	Hotel Wing International Shinjuku
rovinj_cro_8	Apartments Apollonio
